fund_symbol,fund_short_name,fund_long_name,fund_category,fund_family,exchange_code,exchange_name,avg_vol_3month,avg_vol_10day,total_net_assets,day50_moving_average,day200_moving_average,week52_high_low_change,week52_high_low_change_perc,week52_high,week52_high_change,week52_high_change_perc,week52_low,week52_low_change,week52_low_change_perc,investment_strategy,fund_yield,inception_date,annual_holdings_turnover,investment_type,size_type,fund_annual_report_net_expense_ratio,category_annual_report_net_expense_ratio,asset_stocks,asset_bonds,fund_sector_basic_materials,fund_sector_communication_services,fund_sector_consumer_cyclical,fund_sector_consumer_defensive,fund_sector_energy,fund_sector_financial_services,fund_sector_healthcare,fund_sector_industrials,fund_sector_real_estate,fund_sector_technology,fund_sector_utilities,fund_price_book_ratio,fund_price_cashflow_ratio,fund_price_earning_ratio,fund_price_sales_ratio,fund_bond_maturity,fund_bond_duration,fund_bonds_us_government,fund_bonds_aaa,fund_bonds_aa,fund_bonds_a,fund_bonds_bbb,fund_bonds_bb,fund_bonds_b,fund_bonds_below_b,fund_bonds_others,top10_holdings,top10_holdings_total_assets,returns_as_of_date,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,years_up,years_down,fund_return_2020,fund_return_2019,fund_return_2018,fund_return_2017,fund_return_2016,fund_return_2015,fund_return_2014,fund_return_2013,fund_return_2012,fund_return_2011,fund_return_2010,fund_return_2009,fund_return_2008,fund_return_2007,fund_return_2006,fund_return_2005,fund_return_2004,fund_return_2003,fund_return_2002,fund_return_2001,fund_return_2000,fund_alpha_3years,fund_beta_3years,fund_mean_annual_return_3years,fund_r_squared_3years,fund_stdev_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years,fund_alpha_5years,fund_beta_5years,fund_mean_annual_return_5years,fund_r_squared_5years,fund_stdev_5years,fund_sharpe_ratio_5years,fund_treynor_ratio_5years,fund_alpha_10years,fund_beta_10years,fund_mean_annual_return_10years,fund_r_squared_10years,fund_stdev_10years,fund_sharpe_ratio_10years,fund_treynor_ratio_10years
AAAU,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class A,None,DWS,PCX,NYSEArca,239238,255410.0,384448608.0,17.807,17.818,2.75,0.14146,19.44,-1.72,-0.08848,16.69,1.03,0.06171,"The investment seeks total return in excess of inflation through capital growth and current income. The fund will invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in a combination of investments that the Advisor believes offer exposure to ""real assets."" It generally invests between 25% and 75% of fund assets in securities of foreign issuers, including up to 10% of fund assets in issuers located in countries with new or emerging markets.",0.0,2018-07-24,0.0,None,None,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Cayman Real Assets Fund Ltd."": 0.1098, CCI (""Crown Castle International Corp""): 0.0258, LNG (""Cheniere Energy Inc""): 0.0241, ""United States Treasury Notes 1.62%"": 0.0189, FCX (""Freeport-McMoRan Inc""): 0.0175, ""United States Treasury Notes 0.12%"": 0.0156, AMT (""American Tower Corp""): 0.0146, WMB (""Williams Companies Inc""): 0.0144, ""Lme Pri Alum Futr Jul21 Xlme 20210719"": 0.0139",1.0,2021-08-31,-0.0465,0.0,0.0,0.0,-0.0467,0.0,-0.079,0.146,0.0,0.0,2.0,0.0,0.23963,0.18579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.18,0.07,1.23,0.54,14.93,0.91,187.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADR,AllianzGI Health Sciences Fund ,Virtus AllianzGI Health Sciences Fund Class P,Foreign Large Growth,Virtus,NGM,NasdaqGM,2596,3170.0,88836160.0,64.555,65.297,11.82,0.17042,69.36,-7.8645,-0.11339,57.54,3.9555,0.06874,"The investment seeks long-term capital appreciation. The fund seeks to achieve its objective by normally investing at least 80% of its net assets (plus borrowings made for investment purposes) in health sciences-related companies. The portfolio manager considers health sciences-related companies to include companies that design, manufacture or sell products or services used for or in connection with healthcare, medicine or life sciences. The fund will invest primarily in common stocks and other equity securities.",0.0031,2010-07-20,0.0,Blend,Large,0.011,0.0066,0.0,0.0,0.2536,0.0736,0.1164,0.0,0.0455,0.1125,0.0799,0.1394,0.0,0.1791,0.0,1.71,7.46,13.34,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"AZN. L (""AstraZeneca PLC ADR""): 0.0585, MDT (""Medtronic PLC""): 0.0551, BMY (""Bristol-Myers Squibb Company""): 0.0534, PFE (""Pfizer Inc""): 0.0498, LLY (""Eli Lilly and Co""): 0.049, AVTR (""Avantor Inc""): 0.0357, ANTM (""Anthem Inc""): 0.0349, NVS (""Novartis AG ADR""): 0.0341, HZNP (""Horizon Therapeutics PLC""): 0.0308, TFX (""Teleflex Inc""): 0.0272",0.388,2021-06-30,0.094,0.041,0.0049,0.0161,0.0688,0.0508,0.2587,0.0803,0.1188,0.083,7.0,3.0,0.12619,0.35885,-0.31185,0.46928,0.05575,0.0438,-0.0083,0.20878,0.12653,-0.05806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,1.11,0.85,75.96,22.42,0.4,6.11,0.38,1.11,1.1,70.49,19.3,0.62,9.66,3.32,0.96,0.79,73.64,16.78,0.53,8.15
AAXJ,None,American Century One Choice Blend+ 2015 Portfolio Investor Class,Pacific/Asia ex-Japan Stk,American Century Investments,NGM,NasdaqGM,1036417,1287600.0,5574671872.0,86.132,90.435,19.99,0.19514,102.44,-19.43,-0.18967,82.45,0.56001,0.00679,"The investment seeks the highest total return consistent with its asset mix. The fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (ETFs) advised by American Century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. The underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large U.S. and foreign companies.",0.011,2008-08-13,0.23,Blend,Large,0.007,0.0054,0.0,0.0,0.0523,0.1053,0.1683,0.0474,0.0266,0.1824,0.0524,0.0579,0.0391,0.2444,0.0239,2.03,11.7,18.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"AVBNX (""Avantis© Core Fixed Income G""): 0.2708, AGBGX (""American Century Global Bond G""): 0.1237, AVUNX (""Avantis© U.S. Equity G""): 0.081, ACLLX (""American Century NT Focused Lg Cap Val G""): 0.0649, APOGX (""American Century Short Dur Infl ProBd G""): 0.0622, AVGNX (""Avantis© Short-Term Fixed Income G""): 0.0619, ACFGX (""American Century Focused Dynamic Gr G""): 0.0526, AINGX (""American Century Inflation-Adjs Bond G""): 0.0495, LVOL (""American Century Low Volatility ETF""): 0.0478, AVDNX (""Avantis© International Equity G""): 0.0414",0.3005,2021-07-31,-0.0173,0.0984,-0.0709,-0.0199,-0.06,0.01,0.1859,0.0804,0.1067,0.0535,9.0,3.0,0.23865,0.17398,-0.14814,0.40517,0.04833,-0.0985,0.03925,0.02478,0.21386,-0.20008,0.15532,0.70891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.9,0.8,74.34,18.48,0.46,7.8,1.89,0.94,0.97,73.28,15.91,0.66,10.37,0.3,0.99,0.55,78.24,16.83,0.36,4.81
ACIO,American Century Strategic Allo,American Century Strategic Allocation: Aggressive Fund I Class,None,American Century Investments,BTS,BATS,48422,47780.0,232107728.0,31.239,30.098,5.85,0.17884,32.71,-1.39,-0.04249,26.86,4.46,0.16605,"The investment seeks the highest level of total return consistent with its asset mix. The fund's asset allocation strategy diversifies investments among equity securities, bonds and money market instruments. It usually invests 79% of its assets in stocks, 20% of its assets in bonds, and 1% of its assets in cash equivalents. The fund also invests in a variety of debt securities payable in U.S. and foreign currencies. It may invest in any type of U.S. or foreign equity security that meets certain fundamental and technical standards. The fund may invest up to 10% of its assets in below investment-grade securities.",0.0075,2019-07-09,0.46,Blend,Large,0.0079,0.0,1.0,0.0,0.0299,0.105,0.0895,0.0783,0.0334,0.1489,0.1366,0.1059,0.0259,0.221,0.0256,5.41,18.73,27.27,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"AVUS (""Avantis© U.S. Equity ETF""): 0.077, QGRO (""American Century US Quality Growth ETF""): 0.0637, FDG (""American Century Foc Dynmc Gr ETF""): 0.0605, VALQ (""American Century STOXX US Qlty Val ETF""): 0.0575, FLV (""American Century Foc Lrg Cp Val ETF""): 0.0562, AVEM (""Avantis© Emerging Markets Equity ETF""): 0.0555, QINT (""American Century Quality Dvrs Intl ETF""): 0.0371, AVDE (""Avantis© International Equity ETF""): 0.0355, AVUV (""Avantis© U.S. Small Cap Value ETF""): 0.0186, KORP (""American Century Dvrs Corp Bd ETF""): 0.0183",0.3143,2021-06-30,0.0876,0.0,0.013,0.0,0.0655,0.0,0.2055,0.0,0.0,0.0,1.0,0.0,0.09655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSI,None,American Century One Choice Blend+ 2015 Portfolio A Class,Large Blend,American Century Investments,BTS,BATS,627,450.0,80720528.0,51.63,49.636,11.548,0.21473,53.778,-3.25,-0.06043,42.23,8.298,0.1965,"The investment seeks the highest total return consistent with its asset mix. The fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (ETFs) advised by American Century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. The underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large U.S. and foreign companies.",0.007,2016-10-31,0.67,Blend,Large,0.0066,0.0036,0.9995,0.0,0.0,0.1555,0.2836,0.1045,0.0,0.1188,0.0801,0.0763,0.0,0.1401,0.041,3.95,16.7,23.53,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"AVBNX (""Avantis© Core Fixed Income G""): 0.2708, AGBGX (""American Century Global Bond G""): 0.1237, AVUNX (""Avantis© U.S. Equity G""): 0.081, ACLLX (""American Century NT Focused Lg Cap Val G""): 0.0649, APOGX (""American Century Short Dur Infl ProBd G""): 0.0622, AVGNX (""Avantis© Short-Term Fixed Income G""): 0.0619, ACFGX (""American Century Focused Dynamic Gr G""): 0.0526, AINGX (""American Century Inflation-Adjs Bond G""): 0.0495, LVOL (""American Century Low Volatility ETF""): 0.0478, AVDNX (""Avantis© International Equity G""): 0.0414",0.4424,2021-07-31,0.1666,0.075,0.0064,-0.0025,0.035,0.032,0.4211,0.1706,0.0,0.0,3.0,1.0,0.22844,0.24468,-0.04415,0.15521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22,1.02,1.47,94.98,19.42,0.85,15.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTV,None,American Century One Choice Blend+ 2015 Portfolio R Class,Small Value,American Century Investments,PCX,NYSEArca,7411,5280.0,71334696.0,38.506,37.796,9.77,0.24486,39.9,-3.2061,-0.08035,30.13,6.5639,0.21785,"The investment seeks the highest total return consistent with its asset mix. The fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (ETFs) advised by American Century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. The underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large U.S. and foreign companies.",0.0,2020-10-26,0.0,Value,Small,0.0075,0.0035,0.9908,0.0,0.0283,0.0,0.0857,0.0757,0.082,0.1641,0.2019,0.111,0.0271,0.2242,0.0,2.27,9.53,15.47,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"AVBNX (""Avantis© Core Fixed Income G""): 0.2708, AGBGX (""American Century Global Bond G""): 0.1237, AVUNX (""Avantis© U.S. Equity G""): 0.081, ACLLX (""American Century NT Focused Lg Cap Val G""): 0.0649, APOGX (""American Century Short Dur Infl ProBd G""): 0.0622, AVGNX (""Avantis© Short-Term Fixed Income G""): 0.0619, ACFGX (""American Century Focused Dynamic Gr G""): 0.0526, AINGX (""American Century Inflation-Adjs Bond G""): 0.0495, LVOL (""American Century Low Volatility ETF""): 0.0478, AVDNX (""Avantis© International Equity G""): 0.0414",0.2976,2021-08-31,0.2287,0.1188,0.0082,-0.0328,-0.0064,-0.0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADFI,None,American Century One Choice Blend+ 2020 Portfolio I Class,Multisector Bond,American Century Investments,BTS,BATS,2612,2740.0,15340206.0,9.652,9.697,1.04,0.1041,9.99,-0.3425,-0.03428,8.95,0.6975,0.07793,"The investment seeks the highest total return consistent with its asset mix. The fund is a ""fund of funds,"" meaning that it seeks to achieve its objective by investing in other mutual funds and exchange-traded funds (ETFs) advised by American Century (collectively, the underlying funds) that represent a variety of asset classes and investment styles. The underlying stock funds draw on growth, value and quantitative investment techniques and diversify investments among small, medium and large U.S. and foreign companies.",0.0,2020-08-17,0.0,Growth,Small,0.0199,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,6.38,4.86,0.0,0.377,0.0279,0.1587,0.2148,0.1123,0.0847,0.0176,0.007,"AVBNX (""Avantis© Core Fixed Income G""): 0.2666, AGBGX (""American Century Global Bond G""): 0.1177, AVUNX (""Avantis© U.S. Equity G""): 0.0896, ACLLX (""American Century NT Focused Lg Cap Val G""): 0.0685, ACFGX (""American Century Focused Dynamic Gr G""): 0.0596, APOGX (""American Century Short Dur Infl ProBd G""): 0.0517, AINGX (""American Century Inflation-Adjs Bond G""): 0.0469, AHGNX (""American Century NT High Income G""): 0.0451, AVGNX (""Avantis© Short-Term Fixed Income G""): 0.044, AVDNX (""Avantis© International Equity G""): 0.0434",0.8682,2021-06-30,-0.0212,0.0846,0.0058,0.003,0.0119,0.0308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIV,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class C,Pacific/Asia ex-Japan Stk,DWS,PCX,NYSEArca,430,410.0,4788004.0,17.443,18.162,5.02,0.24381,20.59,-4.9355,-0.2397,15.57,0.0845,0.00543,"The investment seeks total return in excess of inflation through capital growth and current income. The fund will invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in a combination of investments that the Advisor believes offer exposure to ""real assets."" It generally invests between 25% and 75% of fund assets in securities of foreign issuers, including up to 10% of fund assets in issuers located in countries with new or emerging markets.",0.0278,2021-03-29,0.0,Value,Large,0.0078,0.0054,0.997,0.0,0.0,0.0316,0.2197,0.0876,0.0,0.249,0.0545,0.0245,0.1109,0.1946,0.0275,1.67,13.73,13.41,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Cayman Real Assets Fund Ltd."": 0.1098, CCI (""Crown Castle International Corp""): 0.0258, LNG (""Cheniere Energy Inc""): 0.0241, ""United States Treasury Notes 1.62%"": 0.0189, FCX (""Freeport-McMoRan Inc""): 0.0175, ""United States Treasury Notes 0.12%"": 0.0156, AMT (""American Tower Corp""): 0.0146, WMB (""Williams Companies Inc""): 0.0144, ""Lme Pri Alum Futr Jul21 Xlme 20210719"": 0.0139",0.3038,2021-06-30,0.0,0.0984,-0.0069,-0.0199,0.0219,0.01,0.0,0.0,0.0,0.0,9.0,5.0,0.13904,0.20328,-0.16423,0.36701,0.08811,-0.04614,0.09036,-0.01991,0.23386,-0.14042,0.23653,0.64837,-0.51711,0.26129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.93,1.0,88.39,17.34,0.62,10.65,1.98,0.92,1.06,81.91,14.77,0.78,12.15,2.6,0.86,0.69,76.02,14.94,0.51,7.83
ADRE,DWS RREEF Real Assets Fund - Cl,DWS RREEF Real Assets Fund - Class R,Diversified Emerging Mkts,DWS,NGM,NasdaqGM,10611,14320.0,209000368.0,49.565,53.987,21.73,0.32404,67.06,-21.58,-0.3218,45.33,0.15,0.00331,"The investment seeks total return in excess of inflation through capital growth and current income. The fund will invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in a combination of investments that the Advisor believes offer exposure to ""real assets."" It generally invests between 25% and 75% of fund assets in securities of foreign issuers, including up to 10% of fund assets in issuers located in countries with new or emerging markets.",0.0104,2002-11-13,0.1765,Blend,Large,0.003,0.0056,1.0,0.0,0.0791,0.092,0.2805,0.0258,0.0434,0.1443,0.0178,0.0077,0.0017,0.3078,0.0,2.63,9.85,16.42,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Cayman Real Assets Fund Ltd."": 0.1098, CCI (""Crown Castle International Corp""): 0.0258, LNG (""Cheniere Energy Inc""): 0.0241, ""United States Treasury Notes 1.62%"": 0.0189, FCX (""Freeport-McMoRan Inc""): 0.0175, ""United States Treasury Notes 0.12%"": 0.0156, AMT (""American Tower Corp""): 0.0146, WMB (""Williams Companies Inc""): 0.0144, ""Lme Pri Alum Futr Jul21 Xlme 20210719"": 0.0139",0.6848,2021-08-31,-0.0676,0.1483,-0.009,0.0101,-0.0764,0.0704,0.121,0.1016,0.108,0.0427,12.0,6.0,0.28244,0.25007,-0.14006,0.35344,0.12613,-0.15999,-0.02229,-0.0496,0.08251,-0.18336,0.11187,0.65219,-0.48955,0.43461,0.37693,0.4082,0.17917,0.52679,0.0,0.0,0.0,1.04,1.05,1.0,70.46,21.98,0.5,8.54,0.62,1.1,1.01,68.4,19.35,0.57,8.75,-2.38,1.15,0.51,74.24,19.76,0.28,3.17
AEMB,American Century Strategic Allo,American Century Strategic Allocation: Aggressive Fund R Class,Emerging Markets Bond,American Century Investments,PCX,NYSEArca,2438,1830.0,22636396.0,48.78,49.459,2.75,0.05464,50.33,-2.01,-0.03994,47.58,0.74,0.01555,"The investment seeks the highest level of total return consistent with its asset mix. The fund's asset allocation strategy diversifies investments among equity securities, bonds and money market instruments. It usually invests 79% of its assets in stocks, 20% of its assets in bonds, and 1% of its assets in cash equivalents. The fund also invests in a variety of debt securities payable in U.S. and foreign currencies. It may invest in any type of U.S. or foreign equity security that meets certain fundamental and technical standards. The fund may invest up to 10% of its assets in below investment-grade securities.",0.0,2021-06-29,0.0,None,None,0.0039,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.48,7.43,0.0,0.0283,0.0,0.0317,0.2415,0.3814,0.2923,0.0248,0.0,"AVUS (""Avantis© U.S. Equity ETF""): 0.077, QGRO (""American Century US Quality Growth ETF""): 0.0637, FDG (""American Century Foc Dynmc Gr ETF""): 0.0605, VALQ (""American Century STOXX US Qlty Val ETF""): 0.0575, FLV (""American Century Foc Lrg Cp Val ETF""): 0.0562, AVEM (""Avantis© Emerging Markets Equity ETF""): 0.0555, QINT (""American Century Quality Dvrs Intl ETF""): 0.0371, AVDE (""Avantis© International Equity ETF""): 0.0355, AVUV (""Avantis© U.S. Small Cap Value ETF""): 0.0186, KORP (""American Century Dvrs Corp Bd ETF""): 0.0183",0.2151,2021-08-31,0.0,0.1309,0.0058,0.0048,0.0,0.0351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
