total_net_assets,fund_yield,annual_holdings_turnover,fund_annual_report_net_expense_ratio,asset_stocks,asset_bonds,fund_sector_basic_materials,fund_sector_communication_services,fund_sector_consumer_cyclical,fund_sector_consumer_defensive,fund_sector_energy,fund_sector_financial_services,fund_sector_healthcare,fund_sector_industrials,fund_sector_real_estate,fund_sector_technology,fund_sector_utilities,fund_price_earning_ratio,fund_bond_maturity,fund_bonds_aaa,fund_bonds_aa,fund_bonds_a,fund_bonds_bbb,fund_bonds_bb,fund_bonds_below_b,fund_return_ytd,fund_alpha_3years,investment_type_Blend,investment_type_Growth,investment_type_Value,size_type_Large,size_type_Medium,size_type_Small
88836160.0,0.0031,0.0,0.011,0.0,0.0,0.2536,0.0736,0.1164,0.0,0.0455,0.1125,0.0799,0.1394,0.0,0.1791,0.0,13.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,-1.3,1,0,0,1,0,0
5574671872.0,0.011,0.23,0.007,0.0,0.0,0.0523,0.1053,0.1683,0.0474,0.0266,0.1824,0.0524,0.0579,0.0391,0.2444,0.0239,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0173,1.2,1,0,0,1,0,0
232107728.0,0.0075,0.46,0.0079,1.0,0.0,0.0299,0.105,0.0895,0.0783,0.0334,0.1489,0.1366,0.1059,0.0259,0.221,0.0256,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0876,0.0,1,0,0,1,0,0
80720528.0,0.007,0.67,0.0066,0.9995,0.0,0.0,0.1555,0.2836,0.1045,0.0,0.1188,0.0801,0.0763,0.0,0.1401,0.041,23.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666,-1.22,1,0,0,1,0,0
71334696.0,0.0,0.0,0.0075,0.9908,0.0,0.0283,0.0,0.0857,0.0757,0.082,0.1641,0.2019,0.111,0.0271,0.2242,0.0,15.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2287,0.0,0,0,1,0,0,1
15340206.0,0.0,0.0,0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38,0.377,0.0279,0.1587,0.2148,0.1123,0.0176,-0.0212,0.0,0,1,0,0,0,1
4788004.0,0.0278,0.0,0.0078,0.997,0.0,0.0,0.0316,0.2197,0.0876,0.0,0.249,0.0545,0.0245,0.1109,0.1946,0.0275,13.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0,0,1,1,0,0
209000368.0,0.0104,0.1765,0.003,1.0,0.0,0.0791,0.092,0.2805,0.0258,0.0434,0.1443,0.0178,0.0077,0.0017,0.3078,0.0,16.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0676,1.04,1,0,0,1,0,0
106446112.0,0.0093,0.19,0.0146,0.9976,0.0,0.0068,0.1332,0.1651,0.0297,0.0085,0.1617,0.1417,0.1296,0.0078,0.2078,0.0082,25.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428,0.0,1,0,0,1,0,0
129347520.0,0.0138,2.27,0.0121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1
64691716.0,0.0369,0.37,0.0079,0.9978,0.0,0.2566,0.2598,0.0768,0.0537,0.0115,0.3159,0.0128,0.0044,0.0051,0.0001,0.0033,14.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0726,-8.56,1,0,0,0,1,0
7627908.0,0.0101,0.0,0.0055,0.999,0.0,0.0263,0.0975,0.1274,0.0767,0.0257,0.1,0.1142,0.1245,0.0256,0.2536,0.0285,21.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1459,0.0,1,0,0,1,0,0
1268811.0,0.0079,0.0,0.0065,0.9982,0.0,0.0406,0.0367,0.1513,0.0519,0.0202,0.1512,0.1281,0.1855,0.0866,0.1286,0.0193,15.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0,0,1,0,1,0
1329882.0,0.0031,0.0,0.0077,0.9989,0.0,0.0304,0.0418,0.1343,0.0635,0.0269,0.1373,0.1915,0.1843,0.0535,0.1296,0.0069,13.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2032,0.0,1,0,0,0,0,1
2980516864.0,0.0126,0.46,0.005,0.9907,0.0,0.0278,0.1771,0.2256,0.0,0.0,0.1864,0.024,0.0148,0.0124,0.3222,0.0096,19.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566,7.06,1,0,0,1,0,0
173179712.0,0.001,2.39,0.008,0.9935,0.0,0.0033,0.1013,0.1596,0.0424,0.0052,0.0582,0.1843,0.0477,0.0401,0.3535,0.0044,34.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1689,-1.77,0,1,0,0,1,0
9462420.0,0.0102,0.0,0.0095,0.0,0.0,0.0233,0.0505,0.0567,0.0304,0.0979,0.2837,0.082,0.1087,0.0775,0.0722,0.1171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0777,-3.18,0,0,1,0,1,0
33678136.0,0.0699,0.0,0.005,0.0,0.0,0.0054,0.0173,0.0208,0.0132,0.167,0.2695,0.0258,0.0589,0.2303,0.0351,0.1568,9.55,9.02,0.0,0.0,0.0,0.0,0.0,0.0,0.1987,-12.44,0,0,1,0,1,0
7869031.0,0.0,0.0,0.0049,1.0,0.0,0.2034,0.0,0.1051,0.4281,0.0,0.0,0.0152,0.2408,0.0,0.0074,0.0,20.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201,0.0,0,0,1,0,1,0
5749876736.0,0.0775,0.0,0.009,0.9987,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4827,-19.87,0,0,1,0,1,0
317647456.0,0.0526,0.96,0.0201,0.998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6539,-34.74,0,0,1,0,1,0
41210312.0,0.0,0.0,0.0045,0.9969,0.0,0.1135,0.1788,0.085,0.0401,0.0,0.0435,0.2906,0.0283,0.0026,0.2175,0.0,34.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0557,0.0,0,1,0,1,0,0
1434986112.0,0.0149,0.04,0.0025,0.0,0.0,0.0511,0.0882,0.1231,0.0707,0.0354,0.1564,0.1147,0.1115,0.0341,0.1878,0.027,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1027,-1.32,1,0,0,1,0,0
926759744.0,0.0175,0.05,0.0025,0.0,0.0,0.0511,0.0882,0.1231,0.0707,0.0354,0.1564,0.1147,0.1115,0.0341,0.1878,0.027,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314,1.27,1,0,0,1,0,0
1678707072.0,0.0177,0.06,0.0025,0.0,0.0,0.0511,0.0882,0.1231,0.0707,0.0354,0.1564,0.1147,0.1115,0.0341,0.1878,0.027,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0455,0.78,1,0,0,1,0,0
1814910848.0,0.0163,0.04,0.0025,0.0,0.0,0.051,0.0884,0.1232,0.0706,0.0351,0.1564,0.1148,0.1111,0.0342,0.1881,0.0271,22.39,8.26,0.5159,0.073,0.153,0.1702,0.0357,0.0076,0.0751,-0.27,1,0,0,1,0,0
5258110.0,0.0,0.0,0.0079,0.0757,0.9219,0.0227,0.1114,0.12,0.0632,0.0286,0.1423,0.1309,0.0886,0.0257,0.2422,0.0245,26.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
3160387.0,0.0,0.0,0.005,0.9997,0.0,0.0762,0.0,0.0279,0.0,0.0,0.0,0.0,0.4292,0.0,0.0,0.4667,27.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0
9743135744.0,0.0,0.0,0.0075,0.9927,0.0,0.0045,0.0,0.0,0.0038,0.0,0.0126,0.9545,0.0,0.0,0.0246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0081,25.99,0,1,0,0,1,0
25520136192.0,0.0,0.0,0.0075,0.9971,0.0,0.0,0.2501,0.1142,0.0093,0.0,0.0004,0.2947,0.0211,0.0051,0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0505,15.79,0,1,0,1,0,0
3090148608.0,0.0,0.0,0.0075,0.9994,0.0,0.0,0.1395,0.2481,0.0125,0.0,0.0254,0.016,0.2486,0.0,0.3098,0.0,28.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,16.24,0,1,0,1,0,0
6354094080.0,0.0,0.0,0.0079,0.9995,0.0,0.0,0.3209,0.2167,0.0092,0.0,0.0268,0.0543,0.0009,0.0253,0.3459,0.0,50.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0527,22.96,0,1,0,1,0,0
669418624.0,0.0,0.0,0.0075,0.9976,0.0,0.0011,0.1075,0.1402,0.0001,0.0,0.0345,0.0052,0.4287,0.0,0.2826,0.0,33.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0
30690664.0,0.0162,0.14,0.0057,0.0,0.0,0.1747,0.1209,0.0006,0.0585,0.1529,0.0,0.0155,0.1705,0.1643,0.0009,0.1411,19.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1294,-3.43,0,0,1,1,0,0
2773868032.0,0.008,1.15,0.0065,0.9914,0.0,0.0631,0.0225,0.0815,0.1632,0.0124,0.2276,0.1135,0.1108,0.0198,0.1666,0.019,18.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,9.26,1,0,0,1,0,0
15479985.0,0.0076,0.27,0.006,0.0,0.0,0.0807,0.0171,0.0839,0.1715,0.0181,0.1838,0.1204,0.15,0.0192,0.1375,0.0178,19.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0396,12.06,0,1,0,1,0,0
3279288.0,0.0,0.0,0.0095,0.9966,0.0,0.0236,0.1083,0.0846,0.1212,0.0289,0.1164,0.1314,0.0667,0.0248,0.2696,0.0244,23.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0
11395190.0,0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0
10096958.0,0.0,0.0,0.0079,0.0,0.0,0.0226,0.1118,0.1201,0.0629,0.0282,0.1421,0.1311,0.088,0.0259,0.2426,0.0246,26.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1158,0.0,1,0,0,1,0,0
177803584.0,0.0235,0.0,0.0027,0.9995,0.0,0.0577,0.0797,0.05,0.1083,0.0438,0.208,0.1284,0.1042,0.0484,0.1473,0.0242,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1929,0.0,0,0,1,0,1,0
775033088.0,0.015,0.08,0.0023,0.994,0.0001,0.114,0.0529,0.1257,0.0677,0.045,0.1914,0.0747,0.1852,0.0258,0.0827,0.0347,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0906,0.0,1,0,0,1,0,0
1522106.0,0.0,0.0,0.006,0.9915,0.0,0.0063,0.0,0.1966,0.1815,0.0071,0.1211,0.0818,0.061,0.0301,0.3144,0.0,23.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1217,0.0,1,0,0,1,0,0
4985553.0,0.0,0.0,0.006,0.9971,0.0,0.0261,0.0954,0.0734,0.0576,0.019,0.1441,0.1385,0.1216,0.0467,0.2432,0.0345,25.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1278,0.0,1,0,0,1,0,0
860706368.0,0.0143,0.32,0.0036,0.9939,0.0003,0.1699,0.0327,0.1622,0.0534,0.0648,0.1646,0.0201,0.2409,0.028,0.0527,0.0105,13.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1706,0.0,0,0,1,0,1,0
678537216.0,0.0152,0.08,0.0033,0.994,0.0,0.1061,0.1008,0.1424,0.0542,0.044,0.1638,0.0367,0.0857,0.0358,0.2053,0.0251,15.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0638,0.0,0,0,1,1,0,0
20002296.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,0.5607,0.0557,0.1602,0.2233,0.0,0.0,-0.0024,0.0,0,0,1,0,1,0
1262527232.0,0.0103,0.03,0.0015,0.9994,0.0,0.0408,0.076,0.1432,0.0553,0.0473,0.1845,0.1135,0.1268,0.004,0.1839,0.0247,22.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1695,0.0,1,0,0,1,0,0
